slug,time,price
democratic-presidential-nominee-2028,2026-02-04 10:00:15+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 11:00:17+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 12:00:26+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 13:00:17+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 14:00:16+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 15:00:24+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 16:00:28+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 17:00:24+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 18:00:24+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 19:00:16+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 20:00:18+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 21:00:23+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 22:00:16+00,0.0105
democratic-presidential-nominee-2028,2026-02-04 23:00:16+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 00:00:22+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 01:00:16+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 02:00:17+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 03:00:32+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 04:00:17+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 05:00:16+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 06:00:20+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 07:00:17+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 08:00:16+00,0.0105
democratic-presidential-nominee-2028,2026-02-05 09:00:22+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 10:00:18+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 11:00:17+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 12:00:29+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 13:00:20+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 14:00:17+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 15:00:32+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 16:00:17+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 17:00:20+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 18:00:22+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 19:00:31+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 20:00:33+00,0.0095
democratic-presidential-nominee-2028,2026-02-05 21:00:24+00,0.0095
