id,marketSlug,detectedAt,eventType,severity,detail,is_true_positive,verification_notes
779,what-will-happen-before-gta-vi,2026-03-27 14:10:31+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -2.949576240757579, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
778,what-will-happen-before-gta-vi,2026-03-27 14:02:29+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -3.6787679096984798, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
777,what-will-happen-before-gta-vi,2026-03-27 14:00:32+00:00,zscore_spike_manual,high,"{'mode': 'manual_sql', 'price': 0.535, 'window': 30, 'z_score': -5.294651389252034, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
877,will-trump-acquire-greenland-before-2027,2026-03-27 00:00:39+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.0925, 'window': 30, 'z_score': 2.705373840919159, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
876,will-trump-acquire-greenland-before-2027,2026-03-26 22:00:31+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.092, 'window': 30, 'z_score': 2.6602451020459594, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'will-trump-acquire-greenland-before-2027'}",,
776,what-will-happen-before-gta-vi,2026-03-26 04:00:36+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.545, 'window': 30, 'z_score': -2.7520151835763014, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
775,what-will-happen-before-gta-vi,2026-03-25 02:00:32+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.565, 'window': 30, 'z_score': 1.4843051230406086, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
774,what-will-happen-before-gta-vi,2026-03-25 01:00:31+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.565, 'window': 30, 'z_score': 1.5866709935951258, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
773,what-will-happen-before-gta-vi,2026-03-25 00:00:39+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.565, 'window': 30, 'z_score': 1.7076494025401248, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
772,what-will-happen-before-gta-vi,2026-03-24 23:00:33+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.565, 'window': 30, 'z_score': 1.8526648778880468, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
771,what-will-happen-before-gta-vi,2026-03-24 22:00:29+00:00,zscore_spike_manual,medium,"{'mode': 'manual_sql', 'price': 0.565, 'window': 30, 'z_score': 2.0304279329401846, 'detector': 'ZScoreDetector', 'threshold': 2.5, 'market_slug': 'what-will-happen-before-gta-vi'}",,
